g,dB,WWseedDensity,RWseedDensity,RRseedDensity,WWplantDensity,RWplantDensity,RRplantDensity
0.227,0.328900388098318,11916.8234296403,0.0019000567608329,0.00462318267098092,207.567769443098,3.3296547157756e-05,8.10741232294665e-05
0.228,0.330777202072539,11850.493617214,0.00188331346153058,0.0045808932834148,207.568982486855,3.31886881461677e-05,8.07851662381422e-05
0.229,0.332658884565499,11784.6991317343,0.00186674359938241,0.00453902629281271,207.570156739266,3.30811636532568e-05,8.04967242761721e-05
0.23,0.334545454545455,11719.4342774697,0.00185034511128511,0.00449757694300475,207.571293298979,3.29739738762004e-05,8.02088011929834e-05
0.231,0.336436931079324,11654.6934244987,0.00183411596126003,0.00445654053770521,207.572393237288,3.28671189993414e-05,7.99214008010689e-05
0.232,0.338333333333333,11590.471008004,0.0018180541400741,0.00441591243971051,207.573457598745,3.27605991941126e-05,7.96345268756166e-05
0.233,0.340234680573664,11526.7615275719,0.00180215766486659,0.00437568807010806,207.574487401745,3.26544146189698e-05,7.93481831541569e-05
0.234,0.342140992167102,11463.5595464982,0.00178642457878126,0.00433586290749607,207.575483639114,3.25485654193335e-05,7.90623733362296e-05
0.235,0.344052287581699,11400.8596910981,0.00177085295060403,0.00429643248721416,207.576447278672,3.24430517275391e-05,7.877710108307e-05
0.236,0.345968586387435,11338.6566500228,0.00175544087440596,0.00425739240058441,207.577379263793,3.23378736627953e-05,7.84923700173111e-05
0.237,0.347889908256881,11276.945173581,0.0017401864691915,0.00421873829416291,207.578280513945,3.22330313311505e-05,7.82081837227057e-05
0.238,0.349816272965879,11215.7200730659,0.00172508787855189,0.00418046586900148,207.579151925228,3.21285248254671e-05,7.7924545743864e-05
0.239,0.351747700394218,11154.9762200878,0.00171014327032364,0.00414257087991955,207.579994370894,3.20243542254025e-05,7.7641459586009e-05
0.24,0.353684210526316,11094.7085459126,0.00169535083625197,0.00410504913478591,207.580808701856,3.19205195973982e-05,7.7358928714748e-05
0.241,0.35562582345191,11034.9120408048,0.00168070879165921,0.00406789649381025,207.581595747193,3.18170209946752e-05,7.70769565558605e-05
0.242,0.357572559366755,10975.5817533768,0.00166621537511798,0.00403110886884441,207.582356314636,3.17138584572364e-05,7.6795546495101e-05
0.243,0.359524438573316,10916.7127899437,0.00165186884812909,0.00399468222269306,207.583091191048,3.16110320118754e-05,7.65147018780185e-05
0.244,0.361481481481481,10858.3003138831,0.00163766749480417,0.00395861256843376,207.583801142896,3.15085416721916e-05,7.62344260097893e-05
0.245,0.363443708609271,10800.3395450005,0.00162360962155284,0.00392289596874627,207.584486916713,3.14063874386112e-05,7.59547221550662e-05
0.246,0.365411140583554,10742.8257589009,0.0016096935567744,0.00388752853525092,207.585149239543,3.13045692984143e-05,7.56755935378402e-05
0.247,0.36738379814077,10685.7542863647,0.00159591765055398,0.00385250642785597,207.585788819388,3.12030872257674e-05,7.53970433413178e-05
0.248,0.36936170212766,10629.1205127299,0.00158228027436301,0.00381782585411375,207.586406345638,3.11019411817615e-05,7.51190747078105e-05
0.249,0.371344873501997,10572.9198772793,0.00156877982076409,0.00378348306858562,207.587002489494,3.1001131114455e-05,7.48416907386386e-05
0.25,0.373333333333333,10517.1478726339,0.00155541470311993,0.00374947437221535,207.587577904387,3.09006569589225e-05,7.45648944940465e-05
0.251,0.375327102803738,10461.8000441503,0.00154218335530663,0.00371579611171112,207.588133226379,3.08005186373071e-05,7.42886889931331e-05
0.252,0.377326203208556,10406.871989325,0.00152908423143094,0.0036824446789358,207.588669074566,3.07007160588789e-05,7.40130772137916e-05
0.253,0.379330655957162,10352.3593572033,0.00151611580555161,0.0036494165103054,207.589186051466,3.06012491200965e-05,7.37380620926628e-05
0.254,0.381340482573726,10298.2578477935,0.00150327657140466,0.00361670808619574,207.589684743401,3.0502117704674e-05,7.34636465251001e-05
0.255,0.383355704697987,10244.5632114872,0.00149056504213263,0.00358431593035711,207.590165720872,3.04033216836514e-05,7.31898333651459e-05
0.256,0.385376344086022,10191.2712484839,0.00147797975001763,0.00355223660933668,207.590629538925,3.03048609154689e-05,7.29166254255176e-05
0.257,0.387402422611036,10138.3778082218,0.00146551924621819,0.00352046673190891,207.591076737513,3.02067352460458e-05,7.26440254776063e-05
0.258,0.389433962264151,10085.8787888137,0.00145318210050988,0.00348900294851348,207.591507841844,3.01089445088618e-05,7.23720362514853e-05
0.259,0.391470985155196,10033.7701364875,0.00144096690102953,0.00345784195070081,207.591923362731,3.00114885250428e-05,7.21006604359276e-05
0.26,0.393513513513513,9982.0478450333,0.00142887225402314,0.00342698047058516,207.592323796924,2.99143671034496e-05,7.18299006784354e-05
0.261,0.395561569688769,9930.70795525441,0.00141689678359736,0.00339641528030498,207.592709627446,2.98175800407696e-05,7.15597595852771e-05
0.262,0.397615176151761,9879.74655442443,0.00140503913147442,0.00336614319149055,207.593081323914,2.97211271216121e-05,7.12902397215357e-05
0.263,0.399674355495251,9829.15977574922,0.00139329795675057,0.00333616105473882,207.593439342859,2.96250081186054e-05,7.10213436111638e-05
0.264,0.401739130434782,9778.94379783403,0.00138167193565794,0.00330646575909538,207.593784128035,2.95292227924981e-05,7.07530737370505e-05
0.265,0.403809523809524,9729.09484415595,0.0013701597613297,0.00327705423154327,207.594116110728,2.94337708922616e-05,7.04854325410939e-05
0.266,0.405885558583106,9679.6091825413,0.0013587601435686,0.00324792343649878,207.594435710047,2.9338652155196e-05,7.02184224242836e-05
0.267,0.407967257844475,9630.48312464828,0.00134747180861871,0.00321907037531408,207.594743333226,2.9243866307038e-05,6.99520457467913e-05
0.268,0.410054644808743,9581.71302545456,0.00133629349894044,0.00319049208578641,207.595039375902,2.91494130620708e-05,6.96863048280679e-05
0.269,0.412147742818057,9533.29528275008,0.00132522397298862,0.00316218564167404,207.595324222402,2.90552921232368e-05,6.94212019469499e-05
0.27,0.414246575342466,9485.22633663473,0.00131426200499383,0.00313414815221868,207.595598246014,2.89615031822512e-05,6.91567393417718e-05
0.271,0.416351165980795,9437.50266902112,0.00130340638474671,0.00310637676167436,207.595861809258,2.88680459197185e-05,6.88929192104861e-05
0.272,0.418461538461538,9390.12080314231,0.00129265591738532,0.00307886864884262,207.59611526415,2.87749200052502e-05,6.862974371079e-05
0.273,0.420577716643741,9343.07730306446,0.00128200942318551,0.0030516210266141,207.596358952458,2.8682125097584e-05,6.83672149602597e-05
0.274,0.422699724517906,9296.36877320438,0.00127146573735419,0.00302463114151612,207.596593205958,2.85896608447051e-05,6.8105335036489e-05
0.275,0.424827586206896,9249.99185785206,0.00126102370982559,0.00299789627326659,207.59681834668,2.84975268839685e-05,6.78441059772369e-05
0.276,0.426961325966851,9203.94324069795,0.00125068220506023,0.00297141373433378,207.597034687149,2.84057228422225e-05,6.75835297805785e-05
0.277,0.429100968188105,9158.21964436515,0.00124044010184685,0.00294518086950216,207.597242530626,2.83142483359337e-05,6.73236084050637e-05
0.278,0.431246537396122,9112.81782994633,0.00123029629310706,0.00291919505544402,207.597442171338,2.82231029713133e-05,6.70643437698806e-05
0.279,0.433398058252427,9067.7345965455,0.00122024968570269,0.00289345370029697,207.597633894707,2.81322863444438e-05,6.68057377550242e-05
0.28,0.435555555555556,9022.96678082447,0.00121029920024591,0.0028679542432471,207.597817977572,2.80417980414074e-05,6.65477922014708e-05
0.281,0.437719054242003,8978.51125655403,0.00120044377091198,0.00284269415411782,207.597994688406,2.79516376384146e-05,6.62905089113569e-05
0.282,0.439888579387187,8934.36493416981,0.0011906823452546,0.00281767093296425,207.598164287533,2.7861804701934e-05,6.60338896481634e-05
0.283,0.442064156206415,8890.52476033281,0.00118101388402386,0.00279288210967316,207.598327027334,2.77722987888227e-05,6.5777936136904e-05
0.284,0.444245810055866,8846.98771749451,0.00117143736098679,0.00276832524356825,207.598483152452,2.7683119446457e-05,6.55226500643182e-05
0.285,0.446433566433566,8803.75082346661,0.00116195176275032,0.00274399792302089,207.598632899995,2.75942662128642e-05,6.52680330790691e-05
0.286,0.448627450980392,8760.81113099531,0.00115255608858682,0.00271989776506607,207.598776499728,2.75057386168543e-05,6.50140867919437e-05
0.287,0.450827489481066,8718.16572734009,0.00114324935026202,0.00269602241502359,207.598914174266,2.74175361781524e-05,6.47608127760597e-05
0.288,0.453033707865168,8675.811733857,0.00113403057186534,0.00267236954612446,207.599046139265,2.73296584075313e-05,6.45082125670732e-05
0.289,0.455246132208157,8633.74630558649,0.00112489878964266,0.00264893685914229,207.5991726036,2.72421048069445e-05,6.42562876633925e-05
0.29,0.457464788732394,8591.96663084548,0.00111585305183132,0.00262572208202974,207.599293769549,2.7154874869659e-05,6.40050395263936e-05
0.291,0.45968970380818,8550.46993082405,0.00110689241849756,0.00260272296955996,207.599409832966,2.70679680803888e-05,6.37544695806401e-05
0.292,0.461920903954802,8509.25345918632,0.0010980159613761,0.00257993730297286,207.599520983455,2.69813839154275e-05,6.35045792141053e-05
0.293,0.464158415841584,8468.31450167576,0.00108922276371208,0.00255736288962623,207.599627404536,2.68951218427821e-05,6.32553697783981e-05
0.294,0.466402266288952,8427.65037572476,0.00108051192010514,0.00253499756265162,207.599729273811,2.6809181322306e-05,6.3006842588991e-05
0.295,0.468652482269503,8387.25843006855,0.00107188253635572,0.00251283918061493,207.599826763125,2.67235618058315e-05,6.27589989254521e-05
0.296,0.470909090909091,8347.13604436315,0.00106333372931351,0.00249088562718162,207.599920038719,2.66382627373033e-05,6.25118400316774e-05
0.297,0.473172119487909,8307.28062880781,0.00105486462672795,0.00246913481078648,207.60000926139,2.65532835529105e-05,6.22653671161278e-05
0.298,0.475441595441595,8267.68962377137,0.00104647436710098,0.00244758466430799,207.600094586636,2.64686236812193e-05,6.20195813520677e-05
0.299,0.477717546362339,8228.36049942291,0.00103816209954167,0.00242623314474706,207.600176164807,2.63842825433044e-05,6.17744838778045e-05
0.3,0.48,8189.29075536646,0.00102992698362302,0.00240507823291021,207.600254141245,2.63002595528814e-05,6.1530075796932e-05
0.301,0.482288984263233,8150.47792027974,0.00102176818924067,0.00238411793309708,207.600328656426,2.62165541164371e-05,6.12863581785745e-05
0.302,0.48458452722063,8111.91955155703,0.0010136848964737,0.00236335027279221,207.600399846095,2.61331656333607e-05,6.10433320576332e-05
0.303,0.486886657101865,8073.61323495595,0.00100567629544726,0.00234277330236113,207.600467841405,2.60500934960738e-05,6.08009984350341e-05
0.304,0.48919540229885,8035.55658424833,0.000997741586197182,0.00232238509475049,207.60053276904,2.59673370901598e-05,6.05593582779772e-05
0.305,0.491510791366906,7997.7472408749,0.000989879978536522,0.00230218374519241,207.600594751352,2.58848957944934e-05,6.03184125201877e-05
0.306,0.493832853025936,7960.18287360395,0.000982090691923896,0.00228216737091288,207.600653906476,2.58027689813685e-05,6.00781620621683e-05
0.307,0.496161616161616,7922.86117819388,0.000974372955333717,0.00226233411084415,207.60071034846,2.5720956016626e-05,5.98386077714525e-05
0.308,0.498497109826589,7885.77987705962,0.000966726007128233,0.00224268212534106,207.600764187381,2.56394562597813e-05,5.95997504828591e-05
0.309,0.500839363241679,7848.93671894273,0.000959149094931356,0.00222320959590136,207.600815529458,2.55582690641498e-05,5.93615909987485e-05
0.31,0.503188405797101,7812.32947858544,0.000951641475504261,0.00220391472488975,207.600864477173,2.54773937769733e-05,5.91241300892779e-05
0.311,0.505544267053701,7775.95595640836,0.000944202414622735,0.00218479573526585,207.600911129372,2.53968297395439e-05,5.88873684926605e-05
0.312,0.507906976744186,7739.81397819189,0.000936831186956237,0.00216585087031587,207.600955581383,2.53165762873285e-05,5.86513069154217e-05
0.313,0.510276564774381,7703.90139476135,0.000929527075948659,0.00214707839338796,207.600997925113,2.52366327500917e-05,5.84159460326594e-05
0.314,0.51265306122449,7668.21608167576,0.000922289373700762,0.00212847658763127,207.601038249158,2.51569984520177e-05,5.81812864883026e-05
0.315,0.515036496350365,7632.75593892018,0.000915117380854251,0.00211004375573856,207.601076638898,2.50776727118322e-05,5.79473288953712e-05
0.316,0.517426900584795,7597.51889060175,0.000908010406477493,0.00209177821969241,207.601113176597,2.49986548429223e-05,5.77140738362365e-05
0.317,0.519824304538799,7562.50288464916,0.000900967767952815,0.0020736783205149,207.601147941499,2.49199441534558e-05,5.74815218628812e-05
0.318,0.522228739002932,7527.7058925157,0.000893988790865407,0.0020557424180208,207.60118100992,2.48415399465004e-05,5.72496734971609e-05
0.319,0.524640234948605,7493.12590888582,0.00088707280889377,0.00203796889057415,207.601212455342,2.47634415201403e-05,5.70185292310641e-05
0.32,0.527058823529412,7458.76095138513,0.000880219163701704,0.00202035613484818,207.601242348495,2.4685648167593e-05,5.67880895269737e-05
0.321,0.529484536082474,7424.6090602938,0.00087342720483182,0.00200290256558863,207.601270757451,2.46081591773252e-05,5.65583548179281e-05
0.322,0.531917404129793,7390.66829826338,0.00086669628960053,0.00198560661538029,207.601297747701,2.45309738331663e-05,5.63293255078816e-05
0.323,0.534357459379616,7356.936750037,0.00086002578299453,0.0019684667344168,207.601323382245,2.44540914144227e-05,5.61010019719657e-05
0.324,0.53680473372781,7323.41252217286,0.000853415057568725,0.00195148139027364,207.601347721662,2.43775111959894e-05,5.58733845567495e-05
0.325,0.539259259259259,7290.09374277108,0.000846863493345593,0.00193464906768426,207.601370824196,2.43012324484613e-05,5.56464735804997e-05
0.326,0.541721068249258,7256.97856120375,0.000840370477715959,0.00191796826831935,207.60139274583,2.42252544382438e-05,5.54202693334415e-05
0.327,0.544190193164933,7224.06514784827,0.000833935405341158,0.00190143751056914,207.601413540355,2.4149576427661e-05,5.51947720780175e-05
0.328,0.546666666666667,7191.35169382388,0.00082755767805659,0.00188505532932873,207.601433259449,2.40741976750642e-05,5.49699820491471e-05
0.329,0.549150521609538,7158.83641073138,0.000821236704776606,0.00186882027578643,207.60145195274,2.39991174349386e-05,5.47458994544856e-05
0.33,0.551641791044776,7126.51753039597,0.000814971901400749,0.00185273091721501,207.601469667881,2.39243349580084e-05,5.45225244746819e-05
0.331,0.554140508221226,7094.39330461324,0.000808762690721302,0.00183678583676586,207.601486450609,2.38498494913417e-05,5.42998572636366e-05
0.332,0.556646706586826,7062.46200489821,0.00080260850233214,0.00182098363326605,207.601502344816,2.37756602784538e-05,5.40778979487586e-05
0.333,0.559160419790105,7030.72192223749,0.000796508772538859,0.00180532292101813,207.601517392607,2.37017665594091e-05,5.38566466312218e-05
0.334,0.561681681681682,6999.17136684434,0.000790462944270167,0.00178980232960281,207.601531634364,2.36281675709223e-05,5.36361033862202e-05
0.335,0.564210526315789,6967.8086679169,0.000784470466990531,0.00177442050368435,207.601545108803,2.3554862546458e-05,5.34162682632232e-05
0.336,0.566746987951807,6936.63217339924,0.000778530796614034,0.00175917610281861,207.601557853033,2.34818507163294e-05,5.31971412862291e-05
0.337,0.569291101055807,6905.64024974538,0.000772643395419453,0.00174406780126384,207.601569902613,2.34091313077958e-05,5.29787224540185e-05
0.338,0.571842900302115,6874.83128168629,0.000766807731966534,0.00172909428779412,207.601581291603,2.33367035451587e-05,5.27610117404067e-05
0.339,0.574402420574886,6844.2036719997,0.000761023281013434,0.00171425426551527,207.601592052621,2.3264566649857e-05,5.25440090944943e-05
0.34,0.576969696969697,6813.75584128274,0.000755289523435323,0.0016995464516835,207.601602216891,2.31927198405609e-05,5.23277144409183e-05
