AsexualSexual,Run,pEscape,timeEscape,pExtinct,timeExtinct,pRWplant,timeRWplant,pRRplant,timeRRplant
0.00207185590932769,79,0.124,0.0577704102776627,0.876,Inf,1,5.67741935483871,1,6.56451612903226
0.00207185590932769,80,0.137,0.0616659759635309,0.863,Inf,1,5.45985401459854,1,6.4014598540146
0.00207185590932769,81,0.144,0.063075010360547,0.856,Inf,1,5.30555555555556,1,6.26388888888889
0.00207185590932769,82,0.127,0.0646498135101533,0.873,Inf,1,6.16535433070866,1,7.11811023622047
0.00207185590932769,83,0.132,0.065395772896809,0.868,Inf,1,6.00757575757576,1,6.9469696969697
0.00207185590932769,84,0.148,0.0682138416908413,0.852,Inf,1,5.60135135135135,1,6.52027027027027
0.00207185590932769,85,0.156,0.0648984666390385,0.844,Inf,1,5.06410256410256,1,5.97435897435897
0.00207185590932769,86,0.125,0.0582677165354331,0.875,Inf,1,5.648,1,6.6
0.00207185590932769,87,0.14,0.0701201823456278,0.86,Inf,1,6.07857142857143,1,7.00714285714286
0.00207185590932769,88,0.133,0.0653128885205139,0.867,Inf,1,5.93984962406015,1,6.90977443609023
0.00207185590932769,89,0.123,0.0527144633236635,0.877,Inf,1,5.21138211382114,1,6.13008130081301
0.00207185590932769,90,0.136,0.0489017820140903,0.864,Inf,1,4.40441176470588,1,5.26470588235294
0.00207185590932769,91,0.138,0.0659759635308744,0.862,Inf,1,5.79710144927536,1,6.73188405797101
0.00207185590932769,92,0.168,0.0747617074181517,0.832,Inf,1,5.39880952380952,1,6.33928571428571
0.00207185590932769,93,0.126,0.0503108164111065,0.874,Inf,1,4.86507936507936,1,5.76984126984127
0.00207185590932769,94,0.141,0.0635723166183174,0.859,Inf,1,5.48936170212766,1,6.39007092198582
0.00207185590932769,95,0.149,0.067882304185661,0.851,Inf,1,5.53020134228188,1,6.46308724832215
0.00207185590932769,96,0.147,0.0677994198093659,0.853,Inf,1,5.60544217687075,1,6.52380952380952
0.00207185590932769,97,0.114,0.0527973476999586,0.886,Inf,1,5.6140350877193,1,6.55263157894737
0.00207185590932769,98,0.132,0.0664732697886448,0.868,Inf,1,6.09848484848485,1,7.0530303030303
0.00207185590932769,99,0.141,0.0562784915043514,0.859,Inf,1,4.84397163120567,1,5.78723404255319
0.00207185590932769,100,0.113,0.0452548694571073,0.887,Inf,1,4.84955752212389,1,5.8141592920354
0.00418352527745737,1,0.161,0.0818897637795276,0.839,64.2646007151371,1,6.16770186335404,1,7.1055900621118
0.00418352527745737,2,0.164,0.0899295482801492,0.836,32.0131343283582,1,6.64024390243902,1,7.59146341463415
0.00418352527745737,3,0.158,0.09092416079569,0.842,21.5506555423123,1,7.03164556962025,1,7.85443037974684
0.00418352527745737,4,0.147,0.0869457107335267,0.853,16.2454005934718,1,7.16326530612245,1,8.10884353741497
0.00418352527745737,5,0.149,0.0841276419394944,0.851,12.9412461502014,1,6.83221476510067,1,7.79194630872483
0.00418352527745737,6,0.148,0.0748445917944467,0.852,10.752808988764,1,6.14864864864865,1,7.05405405405405
0.00418352527745737,7,0.153,0.0852880232076254,0.847,9.1820945945946,1,6.76470588235294,1,7.68627450980392
0.00418352527745737,8,0.145,0.0825528387898881,0.855,8.15232472324723,1,6.89655172413793,1,7.84137931034483
