g,dB,Run,pEscape,timeEscape,pExtinct,timeExtinct,pRWplant,timeRWplant,pRRplant,timeRRplant
0.1,0.124444444444444,95,0.798,9.86340852130326,0.197,388.375634517767,1,23.569,1,11.77
0.1,0.124444444444444,96,0.809,10.2286773794808,0.183,390.295081967213,1,24.389,1,11.629
0.1,0.124444444444444,97,0.817,10.4418604651163,0.173,385.64161849711,1,24.283,1,11.856
0.1,0.124444444444444,98,0.818,7.7200488997555,0.179,388.843575418994,1,23.09,1,10.54
0.1,0.124444444444444,99,0.791,10.378002528445,0.201,392.681592039801,1,23.325,1,12.39
0.1,0.124444444444444,100,0.81,10.5456790123457,0.177,394.610169491525,1,23.028,1,11.607
0.15,0.197647058823529,1,0.722,9.85180055401662,0.278,268.812949640288,1,21.521,1,10.586
0.15,0.197647058823529,2,0.707,8.70862800565771,0.293,265.064846416382,1,20.036,1,10.183
0.15,0.197647058823529,3,0.721,9.20388349514563,0.279,264.727598566308,1,19.106,1,10.48
0.15,0.197647058823529,4,0.731,10.5608755129959,0.269,265.327137546468,1,19.311,1,12.103
0.15,0.197647058823529,5,0.716,9.5377094972067,0.284,265.549295774648,1,19.402,1,11.726
0.15,0.197647058823529,6,0.735,9.45170068027211,0.265,262.743396226415,1,18.984,1,11.094
0.15,0.197647058823529,7,0.711,9.73558368495077,0.289,266.840830449827,1,19.093,1,10.666
0.15,0.197647058823529,8,0.732,8.43852459016393,0.268,269.638059701493,1,19.136,1,10.094
0.15,0.197647058823529,9,0.719,8.93324061196106,0.281,266.014234875445,1,18.258,1,10.386
0.15,0.197647058823529,10,0.713,9.3492286115007,0.287,266.341463414634,1,18.605,1,10.68
0.15,0.197647058823529,11,0.714,10.5812324929972,0.286,263.164335664336,1,19.727,1,11.651
0.15,0.197647058823529,12,0.713,7.95932678821879,0.287,268.062717770035,1,17.907,1,10.39
0.15,0.197647058823529,13,0.731,8.03830369357045,0.269,261.081784386617,1,17.879,1,9.976
0.15,0.197647058823529,14,0.735,9.16462585034014,0.265,268.350943396226,1,18.653,1,9.819
0.15,0.197647058823529,15,0.704,9.56960227272727,0.296,267.243243243243,1,18.949,1,10.155
0.15,0.197647058823529,16,0.714,9.09103641456583,0.286,266.601398601399,1,19.342,1,9.844
0.15,0.197647058823529,17,0.717,8.37517433751743,0.283,266.766784452297,1,18.768,1,9.292
0.15,0.197647058823529,18,0.738,9.10975609756098,0.262,267.954198473282,1,19.176,1,9.828
0.15,0.197647058823529,19,0.726,9.15151515151515,0.274,265.715328467153,1,19.417,1,10.502
0.15,0.197647058823529,20,0.71,10.8267605633803,0.29,267.996551724138,1,19.719,1,11.864
0.15,0.197647058823529,21,0.726,9.57713498622589,0.274,268.306569343066,1,19.456,1,11.186
0.15,0.197647058823529,22,0.705,7.93758865248227,0.295,265.935593220339,1,18.161,1,9.747
0.15,0.197647058823529,23,0.747,8.53815261044177,0.253,268.241106719368,1,17.916,1,10.18
0.15,0.197647058823529,24,0.712,8.96348314606742,0.288,272.746527777778,1,17.995,1,10.559
0.15,0.197647058823529,25,0.716,8.51396648044693,0.284,264.285211267606,1,18.131,1,10.03
0.15,0.197647058823529,26,0.71,9.17887323943662,0.29,267.503448275862,1,18.716,1,10.946
0.15,0.197647058823529,27,0.706,9.20113314447592,0.294,268.840136054422,1,18.766,1,10.393
0.15,0.197647058823529,28,0.711,10.1068917018284,0.289,268.705882352941,1,19.221,1,11.334
0.15,0.197647058823529,29,0.722,9.51939058171745,0.277,267.635379061372,1,19.115,1,11.745
0.15,0.197647058823529,30,0.71,8.58591549295775,0.29,268.568965517241,1,17.88,1,11.192
0.15,0.197647058823529,31,0.717,9.49930264993026,0.283,269.508833922261,1,18.351,1,11.535
0.15,0.197647058823529,32,0.711,10.6005625879044,0.289,264.598615916955,1,19.358,1,12.63
0.15,0.197647058823529,33,0.683,10.9604685212299,0.317,270.447949526814,1,19.899,1,12.649
0.15,0.197647058823529,34,0.711,10.0239099859353,0.289,268.560553633218,1,19.775,1,11.519
0.15,0.197647058823529,35,0.728,7.73763736263736,0.272,268.011029411765,1,19.638,1,9.158
0.15,0.197647058823529,36,0.721,7.59639389736477,0.279,267.26164874552,1,18.456,1,8.774
0.15,0.197647058823529,37,0.717,8.93584379358438,0.283,265.257950530035,1,19.095,1,9.903
0.15,0.197647058823529,38,0.729,9.50480109739369,0.271,265.132841328413,1,19.057,1,10.307
0.15,0.197647058823529,39,0.68,8.37352941176471,0.32,267.36875,1,18.558,1,9.495
0.15,0.197647058823529,40,0.719,9.7413073713491,0.281,268.427046263345,1,18.883,1,11.38
0.15,0.197647058823529,41,0.733,8.42701227830832,0.267,268.614232209738,1,18.411,1,10.861
0.15,0.197647058823529,42,0.7,8.46285714285714,0.3,267.11,1,18.121,1,10.069
0.15,0.197647058823529,43,0.731,7.54172366621067,0.268,269.033582089552,1,17.769,1,9.524
0.15,0.197647058823529,44,0.725,7.83448275862069,0.275,270.156363636364,1,18.047,1,8.724
0.15,0.197647058823529,45,0.727,7.87895460797799,0.273,266.465201465201,1,18.745,1,8.726
0.15,0.197647058823529,46,0.727,8.95323246217331,0.273,266.593406593407,1,18.984,1,9.342
0.15,0.197647058823529,47,0.715,9.46573426573427,0.285,268.028070175439,1,19.48,1,10.178
0.15,0.197647058823529,48,0.701,8.76747503566334,0.298,269.439597315436,1,18.701,1,9.873
0.15,0.197647058823529,49,0.73,8.79178082191781,0.27,267.844444444444,1,18.828,1,10.36
0.15,0.197647058823529,50,0.699,10.5021459227468,0.301,267.205980066445,1,19.329,1,11.303
0.15,0.197647058823529,51,0.711,11.71870604782,0.289,272.079584775087,1,20.254,1,12.271
0.15,0.197647058823529,52,0.712,9.75983146067416,0.288,269.729166666667,1,19.913,1,11.77
0.15,0.197647058823529,53,0.686,9.14285714285714,0.314,266.882165605096,1,19.109,1,10.547
0.15,0.197647058823529,54,0.708,9.42514124293785,0.292,268.972602739726,1,20.254,1,9.715
0.15,0.197647058823529,55,0.731,9.47058823529412,0.269,271.951672862454,1,20.272,1,10.142
0.15,0.197647058823529,56,0.715,9.9986013986014,0.285,264.017543859649,1,20.047,1,11.022
0.15,0.197647058823529,57,0.728,9.51923076923077,0.272,268.584558823529,1,20.45,1,11.504
0.15,0.197647058823529,58,0.708,10.8121468926554,0.292,268.517123287671,1,20.393,1,12.914
0.15,0.197647058823529,59,0.731,10.1969904240766,0.269,268.869888475836,1,19.979,1,12.303
0.15,0.197647058823529,60,0.736,9.76630434782609,0.264,263.208333333333,1,19.835,1,12.151
0.15,0.197647058823529,61,0.714,9.12605042016807,0.286,267.384615384615,1,19.068,1,11.406
0.15,0.197647058823529,62,0.718,8.95125348189415,0.282,270.351063829787,1,19.454,1,11.214
0.15,0.197647058823529,63,0.73,10.4369863013699,0.27,268.377777777778,1,21.14,1,11.601
0.15,0.197647058823529,64,0.711,9.88888888888889,0.289,268.190311418685,1,19.746,1,11.998
0.15,0.197647058823529,65,0.721,9.6380027739251,0.279,267.78853046595,1,19.29,1,11.848
0.15,0.197647058823529,66,0.71,9.75774647887324,0.29,263.524137931034,1,18.846,1,11.28
0.15,0.197647058823529,67,0.734,9.09128065395095,0.266,266.466165413534,1,18.772,1,10.697
0.15,0.197647058823529,68,0.709,8.95627644569817,0.291,265.333333333333,1,17.796,1,11.332
0.15,0.197647058823529,69,0.712,9.29775280898876,0.288,271.909722222222,1,18.305,1,11.285
0.15,0.197647058823529,70,0.724,8.37154696132597,0.276,269.521739130435,1,18.012,1,10.544
0.15,0.197647058823529,71,0.733,8.98908594815825,0.267,266.640449438202,1,18.95,1,10.995
0.15,0.197647058823529,72,0.711,8.65822784810127,0.289,264.702422145329,1,18.949,1,10.707
0.15,0.197647058823529,73,0.718,8.04317548746518,0.282,266.95390070922,1,19.301,1,9.319
0.15,0.197647058823529,74,0.722,8.86288088642659,0.278,264.820143884892,1,19.285,1,10.017
0.15,0.197647058823529,75,0.709,8.31452750352609,0.291,266.412371134021,1,17.871,1,9.136
0.15,0.197647058823529,76,0.737,8.37042062415197,0.263,270.509505703422,1,18.14,1,9.569
0.15,0.197647058823529,77,0.699,8.91559370529328,0.301,266.996677740864,1,18.121,1,9.655
0.15,0.197647058823529,78,0.703,9.52204836415363,0.297,268.239057239057,1,18.53,1,10.665
0.15,0.197647058823529,79,0.715,10.4013986013986,0.285,268.245614035088,1,19.342,1,11.989
0.15,0.197647058823529,80,0.731,9.06703146374829,0.269,268.576208178439,1,19.563,1,11.163
0.15,0.197647058823529,81,0.681,9.81938325991189,0.319,267.216300940439,1,19.722,1,10.841
0.15,0.197647058823529,82,0.696,8.51149425287356,0.304,263.805921052632,1,18.778,1,10.332
0.15,0.197647058823529,83,0.704,7.95454545454545,0.296,268.685810810811,1,18.159,1,10.002
0.15,0.197647058823529,84,0.722,7.87950138504155,0.278,269.474820143885,1,17.824,1,8.844
0.15,0.197647058823529,85,0.712,9.64044943820225,0.288,268.972222222222,1,19.135,1,10.355
0.15,0.197647058823529,86,0.719,8.46036161335188,0.281,269.306049822064,1,18.166,1,10.15
